Sentence, Truth, AonB ∧ (¬ ¬ ¬ (Ccovered ∨ Bcovered) ∧ BonA), (BonA ∧ Bcovered) ∨ ¬ BonA, AonTbl ∨ (ConB ∧ (ConA ∧ ¬ ConB)), BonA, ¬ BonC ∧ ConA, Acovered, ¬ Bcovered, AonTbl, AonB, ¬ ((¬ BonA ∨ (Acovered ∨ AonB)) ∨ AonTbl) ∧ AonB, AonTbl ∨ AonTbl, BonC ∨ ¬ Ccovered, Acovered ∧ ¬ BonA, ¬ ¬ (Acovered ∨ (BonC ∨ Ccovered)), ¬ BonTbl ∧ (AonB ∧ AonC), ConA ∨ (AonTbl ∧ ¬ Bcovered), (AonTbl ∧ ConB) ∨ ((BonTbl ∨ AonB) ∧ Ccovered), ¬ AonTbl, (ConA ∧ BonA) ∧ AonTbl, ¬ ((BonA ∨ ¬ BonA) ∨ (BonA ∨ BonTbl)), 
AonTbl ∨ AonTbl ,  True, 0.5, 0.5, 1.0, 0.5, 0.5, 0.5, 0.5, 1.0, 0.5, 0.5, 1.0, 0.5, 0.5, 0.5, 0.5, 0.625, 0.65625, 0.0, 0.625, 0.5, 
BonC ∨ ¬ Ccovered ,  True, 0.3125, 0.625, 0.5, 0.5, 0.25, 0.5, 0.5, 0.5, 0.5, 0.25, 0.5, 1.0, 0.375, 0.625, 0.3125, 0.5625, 0.375, 0.5, 0.3125, 0.25, 
Acovered ∧ ¬ BonA ,  False, 0.6875, 0.5, 0.5, 0.25, 0.625, 0.75, 0.5, 0.5, 0.5, 0.75, 0.5, 0.375, 1.0, 0.375, 0.6875, 0.4375, 0.484375, 0.5, 0.625, 0.75, 
¬ ¬ (Acovered ∨ (BonC ∨ Ccovered)) ,  True, 0.15625, 0.6875, 0.5, 0.5, 0.25, 0.625, 0.5, 0.5, 0.5, 0.125, 0.5, 0.625, 0.375, 1.0, 0.21875, 0.59375, 0.59375, 0.5, 0.21875, 0.125, 
¬ BonTbl ∧ (AonB ∧ AonC) ,  False, 0.84375, 0.3125, 0.5, 0.5, 0.6875, 0.5, 0.5, 0.5, 0.625, 0.875, 0.5, 0.3125, 0.6875, 0.21875, 1.0, 0.40625, 0.5, 0.5, 0.78125, 0.875, 
ConA ∨ (AonTbl ∧ ¬ Bcovered) ,  True, 0.40625, 0.5, 0.625, 0.5, 0.625, 0.5, 0.625, 0.625, 0.5, 0.375, 0.625, 0.5625, 0.4375, 0.59375, 0.40625, 1.0, 0.546875, 0.375, 0.5, 0.375, 
(AonTbl ∧ ConB) ∨ ((BonTbl ∨ AonB) ∧ Ccovered) ,  False, 0.4375, 0.515625, 0.65625, 0.5, 0.484375, 0.5, 0.5, 0.65625, 0.59375, 0.46875, 0.65625, 0.375, 0.484375, 0.59375, 0.5, 0.546875, 1.0, 0.34375, 0.515625, 0.46875, 
¬ AonTbl ,  False, 0.5, 0.5, 0.0, 0.5, 0.5, 0.5, 0.5, 0.0, 0.5, 0.5, 0.0, 0.5, 0.5, 0.5, 0.5, 0.375, 0.34375, 1.0, 0.375, 0.5, 
(ConA ∧ BonA) ∧ AonTbl ,  False, 0.84375, 0.25, 0.625, 0.625, 0.75, 0.5, 0.5, 0.625, 0.5, 0.875, 0.625, 0.3125, 0.625, 0.21875, 0.78125, 0.5, 0.515625, 0.375, 1.0, 0.875, 
¬ ((BonA ∨ ¬ BonA) ∨ (BonA ∨ BonTbl)) ,  False, 0.9375, 0.25, 0.5, 0.5, 0.75, 0.5, 0.5, 0.5, 0.5, 1.0, 0.5, 0.25, 0.75, 0.125, 0.875, 0.375, 0.46875, 0.5, 0.875, 1.0, 
